Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"571", 0.4, 1,    234.945,  -29.8,    1.0173, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"572", 0.4, 1,    235.573,  -29.8,    1.0201, 2,    235.872, -150.1,    1.0214, 3,    237.497,   90.0,    1.0284
"573", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.934,   90.0,    1.0303
"574", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.935,   90.0,    1.0303
"575", 0.4, 1,    234.859,  -29.7,     1.017, 2,    235.389, -150.2,    1.0193, 3,    237.937,   90.0,    1.0303
"576", 0.4, 1,    234.694,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"577", 0.4, 1,    234.944,  -29.8,    1.0173, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"578", 0.4, 1,     235.57,  -29.8,      1.02, 2,    235.868, -150.1,    1.0213, 3,    237.496,   90.0,    1.0284
"579", 0.4, 1,    234.866,  -29.7,     1.017, 2,    235.421, -150.2,    1.0194, 3,    237.922,   90.0,    1.0302
"580", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.934,   90.0,    1.0303
"581", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.934,   90.0,    1.0303
"582", 0.4, 1,    234.859,  -29.7,     1.017, 2,    235.385, -150.2,    1.0192, 3,    237.937,   90.0,    1.0303
"583", 0.4, 1,    234.694,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"584", 0.4, 1,    234.943,  -29.8,    1.0173, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"585", 0.4, 1,     235.57,  -29.8,      1.02, 2,    235.844, -150.1,    1.0212, 3,    237.496,   90.0,    1.0284
"586", 0.4, 1,    235.561,  -29.8,      1.02, 2,    235.862, -150.1,    1.0213, 3,    237.492,   90.0,    1.0284
"587", 0.4, 1,     234.87,  -29.7,     1.017, 2,    235.415, -150.2,    1.0194, 3,    237.913,   90.0,    1.0302
"588", 0.4, 1,    234.866,  -29.7,     1.017, 2,    235.421, -150.2,    1.0194, 3,    237.922,   90.0,    1.0302
"589", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.934,   90.0,    1.0303
"590", 0.4, 1,    234.859,  -29.7,     1.017, 2,    235.382, -150.2,    1.0192, 3,    237.937,   90.0,    1.0303
"591", 0.4, 1,    234.693,  -29.7,    1.0163, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"592", 0.4, 1,    234.942,  -29.8,    1.0173, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"593", 0.4, 1,     235.57,  -29.8,      1.02, 2,    235.843, -150.1,    1.0212, 3,    237.496,   90.0,    1.0284
"594", 0.4, 1,    235.522,  -29.8,    1.0198, 2,    235.829, -150.1,    1.0212, 3,    237.474,   90.0,    1.0283
"595", 0.4, 1,    234.877,  -29.7,     1.017, 2,    235.395, -150.2,    1.0193, 3,    237.915,   90.0,    1.0302
"596", 0.4, 1,     234.87,  -29.7,     1.017, 2,    235.415, -150.2,    1.0194, 3,     237.91,   90.0,    1.0302
"597", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.934,   90.0,    1.0303
"598", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.348, -150.2,    1.0191, 3,    237.937,   90.0,    1.0303
"599", 0.4, 1,     234.69,  -29.7,    1.0162, 2,    235.561, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"600", 0.4, 1,    234.941,  -29.8,    1.0173, 2,     235.82, -150.2,    1.0211, 3,    237.942,   90.1,    1.0303
"601", 0.4, 1,     235.57,  -29.8,      1.02, 2,    235.842, -150.1,    1.0212, 3,    237.496,   90.0,    1.0284
"602", 0.4, 1,    235.522,  -29.8,    1.0198, 2,     235.83, -150.1,    1.0212, 3,    237.428,   90.0,    1.0281
"603", 0.4, 1,    235.474,  -29.8,    1.0196, 2,    235.788, -150.1,     1.021, 3,    237.463,   90.0,    1.0282
"604", 0.4, 1,    234.883,  -29.7,    1.0171, 2,    235.377, -150.2,    1.0192, 3,    237.916,   90.0,    1.0302
"605", 0.4, 1,    234.877,  -29.7,     1.017, 2,    235.395, -150.2,    1.0193, 3,    237.915,   90.0,    1.0302
"606", 0.4, 1,    234.877,  -29.7,     1.017, 2,    235.395, -150.2,    1.0193, 3,    237.915,   90.0,    1.0302
"607", 0.4, 1,    234.871,  -29.7,     1.017, 2,    235.416, -150.2,    1.0194, 3,    237.852,   90.0,    1.0299
"608", 0.4, 1,     234.87,  -29.7,     1.017, 2,    235.415, -150.2,    1.0194, 3,     237.91,   90.0,    1.0302
"609", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.431, -150.2,    1.0194, 3,    237.934,   90.0,    1.0303
"610", 0.4, 1,     234.86,  -29.7,     1.017, 2,    235.333, -150.2,     1.019, 3,    237.937,   90.0,    1.0303
"611", 0.4, 1,    234.665,  -29.7,    1.0161, 2,    235.561, -150.2,      1.02, 3,    237.972,   90.1,    1.0304
